Index,blue,green,red,nir08,swir16,swir22,image_date,days_offset
73,9586.0,10499.0,11525.5,15371.5,15542.0,12768.5,2010-12-18T08:28:15.943946Z,32.0
77,9534.0,10223.0,10476.5,11704.5,10074.0,9053.0,2011-02-01T07:56:07.050552Z,12.0
63,9490.5,11044.5,11540.5,17937.5,18143.5,14152.5,2011-02-16T07:58:53.067069Z,29.0
58,9253.5,10247.0,10126.0,15515.5,12823.0,10403.5,2011-02-16T07:58:53.067069Z,29.0
60,10047.5,11428.5,13270.0,13800.0,8900.0,8402.0,2011-01-09T07:50:59.546787Z,9.0
69,8882.5,9908.0,9503.5,17418.5,13987.0,10115.0,2011-02-16T07:58:53.067069Z,28.0
59,8584.0,9511.0,9849.0,13898.0,10331.0,8973.0,2011-01-09T07:50:59.546787Z,9.0
61,9572.0,10665.5,11320.5,15820.0,16377.5,13975.0,2011-02-28T08:25:11.413025Z,41.0
51,,,,,,,,
62,8765.0,9546.5,9965.0,13162.5,12786.0,10889.0,2011-02-28T08:25:11.413025Z,41.0
79,10832.0,12046.5,13063.0,14599.0,12067.0,11038.5,2011-02-13T08:21:16.641302Z,24.0
82,10832.0,12046.5,13063.0,14599.0,12067.0,11038.5,2011-02-13T08:21:16.641302Z,23.0
70,8429.5,9196.5,8964.5,16880.0,12987.5,10366.5,2011-01-09T07:50:35.593128Z,10.0
78,10019.5,10934.0,12350.0,14428.5,8301.5,7932.0,2011-01-16T07:56:49.535557Z,4.0
68,9069.0,10002.0,9793.5,17734.0,15221.0,11363.0,2011-02-17T07:56:10.486793Z,29.0
67,9205.5,9880.5,9932.0,13704.5,9672.5,8407.0,2011-02-17T07:56:10.486793Z,29.0
83,,,,,,,,
81,8650.5,9517.0,9297.5,16403.5,14173.5,11102.5,2011-02-01T07:55:19.160414Z,11.0
80,9400.5,10803.0,11902.0,14494.0,10500.5,9346.5,2011-01-09T07:50:35.593128Z,11.0
86,9549.0,10352.0,10779.0,11076.0,7909.0,7729.5,2011-01-07T08:02:08.313072Z,17.0
90,9763.0,10697.5,11162.5,10464.5,8177.0,7864.5,2011-01-07T08:02:08.313072Z,18.0
76,,,,,,,,
71,8648.0,9549.0,9329.5,18764.0,15190.0,11076.0,2011-02-02T07:47:17.986081Z,14.0
75,8972.5,9934.5,9969.5,15534.5,12857.5,10579.0,2011-02-17T07:55:46.542600Z,29.0
99,10960.0,12114.0,12663.0,11613.0,8402.0,7982.0,2011-01-07T08:02:08.313072Z,19.0
96,8062.0,8452.0,8463.0,13535.0,10327.0,8688.0,2011-01-12T08:22:42.948526Z,14.0
94,8707.0,9154.0,9119.0,13871.0,11520.0,9420.0,2011-01-28T08:22:24.970046Z,3.0
89,9344.0,10433.5,10728.5,12433.5,9579.5,8531.5,2011-02-16T07:58:53.067069Z,22.0
91,9253.5,10247.0,10126.0,15515.5,12823.0,10403.5,2011-02-16T07:58:53.067069Z,22.0
85,,,,,,,,
92,9167.0,9912.0,10557.0,14438.0,14976.5,12355.0,2011-01-12T08:22:42.948526Z,13.0
87,9693.5,10943.0,11237.5,14887.0,13522.0,11403.0,2011-02-16T07:58:53.067069Z,23.0
88,8718.0,9502.5,9290.0,16828.5,12665.5,9643.0,2011-02-16T07:58:53.067069Z,23.0
100,9205.5,9880.5,9932.0,13704.5,9672.5,8407.0,2011-02-17T07:56:10.486793Z,22.0
105,9881.0,11481.0,12405.0,11761.5,7791.0,7746.0,2011-02-03T08:30:09.856025Z,4.0
95,8693.0,9753.0,9553.5,16870.5,13408.0,10257.0,2011-02-16T07:58:29.237038Z,21.0
103,9534.0,10223.0,10476.5,11704.5,10074.0,9053.0,2011-02-01T07:56:07.050552Z,5.0
101,8882.5,9908.0,9503.5,17418.5,13987.0,10115.0,2011-02-16T07:58:53.067069Z,21.0
102,,,,,,,,
98,8535.0,9597.0,8963.5,19310.5,12954.5,9447.5,2011-02-16T07:58:29.237038Z,21.0
84,10629.0,11573.0,11844.0,18501.0,16089.0,12622.0,2011-02-16T07:58:29.237038Z,23.0
108,10148.5,10570.5,10579.5,16308.0,15703.0,11748.5,2011-03-12T08:01:40.112596Z,39.0
109,10189.0,10746.0,10806.0,17334.0,13911.0,11046.0,2011-03-12T08:01:40.112596Z,39.0
93,,,,,,,,
111,9086.5,9900.5,10232.5,12853.0,11596.5,9725.5,2011-02-01T07:56:07.050552Z,0.0
118,9534.0,10223.0,10476.5,11704.5,10074.0,9053.0,2011-02-01T07:56:07.050552Z,2.0
97,,,,,,,,
114,10280.5,10717.5,10416.5,16318.0,12636.5,10113.0,2011-03-12T08:01:40.112596Z,38.0
112,9009.5,9996.0,10024.0,15713.5,13415.0,10634.0,2011-02-16T07:59:17.040069Z,15.0
117,9143.0,9975.0,10048.5,14408.0,12329.5,10043.5,2011-02-01T07:56:07.050552Z,2.0
104,10060.0,10740.0,11262.0,11246.0,7694.5,7710.0,2011-01-07T08:01:44.363362Z,20.0
113,,,,,,,,
122,10832.0,12046.5,13063.0,14599.0,12067.0,11038.5,2011-02-13T08:21:16.641302Z,9.0
121,10832.0,12046.5,13063.0,14599.0,12067.0,11038.5,2011-02-13T08:21:16.641302Z,10.0
119,9069.0,10002.0,9793.5,17734.0,15221.0,11363.0,2011-02-17T07:56:10.486793Z,14.0
120,9235.5,10548.0,11938.0,13400.0,7764.0,7659.0,2011-02-01T07:56:54.946192Z,2.0
107,,,,,,,,
124,10629.0,11573.0,11844.0,18501.0,16089.0,12622.0,2011-02-16T07:58:29.237038Z,9.0
110,8437.0,9281.0,8994.5,17894.5,13078.0,9695.0,2011-02-11T07:40:20.456069Z,10.0
129,8452.5,9326.0,9431.0,14514.0,12189.5,9706.0,2011-02-10T07:49:58.178174Z,3.0
131,8758.0,9687.5,9713.5,13255.5,14602.0,12079.0,2011-02-10T07:49:58.178174Z,2.0
106,,,,,,,,
130,9344.0,10433.5,10728.5,12433.5,9579.5,8531.5,2011-02-16T07:58:53.067069Z,8.0
132,9414.0,10207.0,10262.5,13683.0,14011.5,11850.5,2011-02-16T07:58:53.067069Z,8.0
128,8718.0,9502.5,9290.0,16828.5,12665.5,9643.0,2011-02-16T07:58:53.067069Z,9.0
123,9784.5,11594.0,12548.0,13930.0,8610.0,8471.0,2011-02-11T07:40:44.286094Z,4.0
133,9253.5,10247.0,10126.0,15515.5,12823.0,10403.5,2011-02-16T07:58:53.067069Z,8.0
138,9671.5,11040.0,11496.0,10218.0,7946.5,7735.0,2011-02-16T07:58:53.067069Z,7.0
115,9763.0,11058.5,11405.5,16423.0,11413.5,9248.5,2011-01-17T07:45:16.850075Z,17.0
127,9021.5,10027.0,9845.5,16538.0,14809.0,11414.5,2011-02-02T07:47:17.986081Z,5.0
136,10579.0,13104.0,14613.0,17653.0,19330.0,16984.0,2011-02-28T08:25:11.413025Z,20.0
135,8675.0,9197.5,9191.0,14958.5,12064.5,9854.5,2011-03-26T08:16:26.480988Z,46.0
134,8658.0,9767.5,9470.0,17012.5,12108.0,9335.0,2011-02-15T08:08:31.288543Z,7.0
116,,,,,,,,
126,,,,,,,,
125,,,,,,,,
141,8787.0,9491.0,9408.0,16227.0,12407.5,9783.0,2011-02-01T07:56:30.997725Z,8.0
144,9296.0,9877.0,9578.0,15506.0,13498.0,10529.0,2011-02-07T08:05:51.123038Z,3.0
146,8600.5,9554.0,9893.0,17079.0,16078.0,12122.0,2011-03-26T08:16:50.436084Z,44.0
140,8765.0,9454.0,9309.0,16727.0,12922.0,9901.0,2011-02-01T07:56:30.997725Z,8.0
147,9227.5,10334.0,10903.5,15218.5,14735.0,12208.5,2011-02-28T08:25:11.413025Z,18.0
145,8114.0,8314.0,8461.0,11058.0,11065.0,9696.0,2011-03-26T08:16:50.436084Z,44.0
149,9396.0,10765.0,11157.5,14001.0,12520.0,10583.0,2011-02-16T07:59:40.871000Z,5.0
143,9170.0,10468.0,11413.0,11724.0,7895.0,7622.0,2011-02-09T07:53:29.699063Z,1.0
150,8688.0,9854.5,10059.0,16337.5,14979.0,11663.0,2011-02-11T07:40:20.456069Z,0.0
151,9881.0,11481.0,12405.0,11761.5,7791.0,7746.0,2011-02-03T08:30:09.856025Z,10.0
142,9534.0,10223.0,10476.5,11704.5,10074.0,9053.0,2011-02-01T07:56:07.050552Z,9.0
155,8921.0,9766.5,9475.5,17791.5,13755.0,10646.0,2011-02-17T07:55:46.542600Z,3.0
139,9205.5,9880.5,9932.0,13704.5,9672.5,8407.0,2011-02-17T07:56:10.486793Z,8.0
153,8734.5,9742.0,9613.0,18297.5,14971.5,11426.5,2011-02-11T07:41:08.259094Z,3.0
160,8804.0,9420.5,9381.5,12967.0,11509.5,9500.5,2011-02-17T07:55:46.542600Z,2.0
152,9350.5,10300.5,10230.5,18440.0,14211.0,10992.5,2011-02-10T07:50:46.071722Z,4.0
154,8721.0,9826.0,9322.0,16353.5,13066.0,9873.0,2011-02-11T07:41:08.259094Z,3.0
159,10189.0,10746.0,10806.0,17334.0,13911.0,11046.0,2011-03-12T08:01:40.112596Z,25.0
158,10280.5,10717.5,10416.5,16318.0,12636.5,10113.0,2011-03-12T08:01:40.112596Z,25.0
162,9253.5,10247.0,10126.0,15515.5,12823.0,10403.5,2011-02-16T07:58:53.067069Z,1.0
163,9693.5,10943.0,11237.5,14887.0,13522.0,11403.0,2011-02-16T07:58:53.067069Z,1.0
169,9490.5,11044.5,11540.5,17937.5,18143.5,14152.5,2011-02-16T07:58:53.067069Z,1.0
164,9009.5,9996.0,10024.0,15713.5,13415.0,10634.0,2011-02-16T07:59:17.040069Z,1.0
156,8671.0,9929.0,9463.0,18851.0,13301.0,9877.0,2011-02-25T07:52:18.010063Z,11.0
137,,,,,,,,
167,9572.0,10665.5,11320.5,15820.0,16377.5,13975.0,2011-02-28T08:25:11.413025Z,13.0
168,8765.0,9546.5,9965.0,13162.5,12786.0,10889.0,2011-02-28T08:25:11.413025Z,13.0
148,,,,,,,,
161,9075.0,9942.0,10694.0,12471.0,10465.0,9358.0,2011-02-10T07:49:58.178174Z,5.0
170,9296.0,9935.0,9679.0,12209.5,9217.5,8315.0,2011-02-19T07:43:25.819838Z,3.0
171,9928.5,10434.0,10337.5,15486.5,12978.0,10727.5,2011-03-12T08:01:40.112596Z,24.0
180,9873.5,11456.5,12122.5,15187.0,14527.0,12799.0,2011-02-28T08:25:11.413025Z,12.0
166,8678.5,9364.0,9503.5,12459.0,10858.5,9286.0,2011-02-26T07:50:51.117944Z,11.0
165,8310.0,9074.0,8843.0,16184.5,12220.5,9690.5,2011-02-26T07:50:51.117944Z,11.0
185,8828.0,9617.5,9589.5,16341.0,14596.0,11104.5,2011-02-11T07:41:08.259094Z,7.0
172,8635.0,9536.5,9145.0,18414.0,12840.5,9820.0,2011-02-11T07:39:56.483069Z,5.0
187,8858.0,9730.5,9447.5,17834.5,13858.0,10698.0,2011-02-17T07:56:10.486793Z,4.0
157,,,,,,,,
175,9205.5,9880.5,9932.0,13704.5,9672.5,8407.0,2011-02-17T07:56:10.486793Z,1.0
176,9069.0,10002.0,9793.5,17734.0,15221.0,11363.0,2011-02-17T07:56:10.486793Z,1.0
182,9135.0,10103.5,9925.0,15748.0,13193.0,10442.5,2011-02-17T07:56:10.486793Z,0.0
192,9414.0,10207.0,10262.5,13683.0,14011.5,11850.5,2011-02-16T07:58:53.067069Z,6.0
183,9534.0,10223.0,10476.5,11704.5,10074.0,9053.0,2011-02-01T07:56:07.050552Z,16.0
173,9372.5,10584.0,10114.0,18288.0,14144.0,10522.5,2011-02-11T07:41:08.259094Z,5.0
177,8882.5,9908.0,9503.5,17418.5,13987.0,10115.0,2011-02-16T07:58:53.067069Z,0.0
190,9344.0,10433.5,10728.5,12433.5,9579.5,8531.5,2011-02-16T07:58:53.067069Z,6.0
193,9253.5,10247.0,10126.0,15515.5,12823.0,10403.5,2011-02-16T07:58:53.067069Z,6.0
174,8788.0,9598.0,9220.5,18186.0,12332.5,9609.0,2011-02-11T07:41:08.259094Z,5.0
194,9009.5,9996.0,10024.0,15713.5,13415.0,10634.0,2011-02-16T07:59:17.040069Z,6.0
178,9233.5,10218.5,10825.0,13890.0,11482.5,10112.5,2011-02-26T07:50:51.117944Z,10.0
179,9238.0,10362.5,10989.5,16052.5,15176.0,12502.0,2011-02-26T07:50:51.117944Z,10.0
204,9253.5,10247.0,10126.0,15515.5,12823.0,10403.5,2011-02-16T07:58:53.067069Z,7.0
201,9135.0,10103.5,9925.0,15748.0,13193.0,10442.5,2011-02-17T07:56:10.486793Z,6.0
200,,,,,,,,
203,10130.0,11597.0,11926.0,11481.0,8583.0,8196.5,2011-02-16T07:58:53.067069Z,7.0
186,8866.5,9722.0,9294.5,15888.5,12561.5,9615.0,2011-02-25T07:52:18.010063Z,4.0
189,8671.0,9929.0,9463.0,18851.0,13301.0,9877.0,2011-02-25T07:52:18.010063Z,4.0
198,8010.0,8344.0,8314.0,13912.0,10705.0,8910.0,2011-03-01T08:22:58.043685Z,6.0
197,8605.5,9601.0,9465.5,14678.0,12867.0,10208.0,2011-02-27T07:41:07.719075Z,4.0
184,,,,,,,,
206,9035.5,9766.0,9388.5,18432.0,13305.0,9983.0,2011-02-17T07:56:10.486793Z,6.0
191,8758.0,9687.5,9713.5,13255.5,14602.0,12079.0,2011-02-10T07:49:58.178174Z,12.0
195,8793.5,9684.0,10313.5,13785.0,14045.5,11787.0,2011-02-28T08:25:11.413025Z,6.0
199,9220.5,9807.5,10077.0,13506.0,12568.0,10983.5,2011-03-26T08:16:50.436084Z,31.0
205,9693.5,10943.0,11237.5,14887.0,13522.0,11403.0,2011-02-16T07:58:53.067069Z,7.0
219,9693.5,10943.0,11237.5,14887.0,13522.0,11403.0,2011-02-16T07:58:53.067069Z,13.0
207,8619.0,9048.0,8880.0,14549.0,10812.0,9109.0,2011-03-01T08:22:58.043685Z,6.0
202,9534.0,10223.0,10476.5,11704.5,10074.0,9053.0,2011-02-01T07:56:07.050552Z,22.0
188,10111.0,10765.0,10804.0,11484.0,9204.0,8369.0,2011-03-12T08:02:04.056478Z,19.0
218,9253.5,10247.0,10126.0,15515.5,12823.0,10403.5,2011-02-16T07:58:53.067069Z,13.0
181,,,,,,,,
211,8810.5,9954.0,10761.0,11093.0,7819.0,7634.0,2011-02-25T07:53:29.644019Z,1.0
209,9302.0,10024.0,10242.0,12384.0,10676.5,9671.0,2011-03-12T08:01:16.170401Z,16.0
208,8866.0,9469.0,9225.0,15007.0,12879.0,10314.0,2011-03-12T08:01:16.170401Z,16.0
212,8957.0,10077.0,10727.5,14141.5,12302.0,10587.0,2011-02-25T07:53:29.644019Z,1.0
213,8703.5,9792.0,10786.0,12158.0,7909.0,7766.0,2011-02-25T07:53:29.644019Z,1.0
221,9490.5,11044.5,11540.5,17937.5,18143.5,14152.5,2011-02-16T07:58:53.067069Z,13.0
223,9287.0,9947.0,9635.0,17201.0,13451.5,10029.5,2011-03-12T08:02:04.056478Z,10.0
214,9908.0,11215.5,12120.5,13248.0,10636.5,9105.5,2011-03-01T08:21:22.246809Z,5.0
228,8810.5,9954.0,10761.0,11093.0,7819.0,7634.0,2011-02-25T07:53:29.644019Z,6.0
220,9009.5,9996.0,10024.0,15713.5,13415.0,10634.0,2011-02-16T07:59:17.040069Z,13.0
222,,,,,,,,
226,9205.5,9880.5,9932.0,13704.5,9672.5,8407.0,2011-02-17T07:56:10.486793Z,14.0
225,8681.0,9537.0,9723.0,14293.5,13638.0,11155.5,2011-03-30T07:49:20.989156Z,27.0
217,9077.0,9892.0,10332.0,14153.5,11233.5,9200.0,2011-03-30T07:49:20.989156Z,29.0
227,9069.0,10002.0,9793.5,17734.0,15221.0,11363.0,2011-02-17T07:56:10.486793Z,14.0
196,8693.0,9753.0,9553.5,16870.5,13408.0,10257.0,2011-02-16T07:58:29.237038Z,7.0
232,9344.0,10433.5,10728.5,12433.5,9579.5,8531.5,2011-02-16T07:58:53.067069Z,20.0
235,9253.5,10247.0,10126.0,15515.5,12823.0,10403.5,2011-02-16T07:58:53.067069Z,20.0
234,9414.0,10207.0,10262.5,13683.0,14011.5,11850.5,2011-02-16T07:58:53.067069Z,20.0
210,,,,,,,,
216,9557.0,11426.0,12802.0,11190.0,7687.5,7645.0,2011-03-14T08:36:17.082050Z,15.0
230,8866.5,9722.0,9294.5,15888.5,12561.5,9615.0,2011-02-25T07:52:18.010063Z,10.0
238,9578.5,11017.0,13120.0,15755.0,8453.0,8098.0,2011-03-07T07:45:06.800320Z,1.0
229,8893.0,9969.5,10129.0,11490.5,10372.5,9135.0,2011-03-21T07:56:16.794879Z,17.0
240,9943.0,10391.0,10279.0,16222.0,14158.0,11172.0,2011-03-12T08:02:04.056478Z,3.0
233,8687.0,9611.0,10183.5,12113.5,11318.5,9288.0,2011-03-21T07:56:16.794879Z,13.0
224,8687.0,9611.0,10183.5,12113.5,11318.5,9288.0,2011-03-21T07:56:16.794879Z,19.0
236,9611.5,10818.0,11403.0,15184.0,13762.0,11133.0,2011-03-21T07:56:16.794879Z,13.0
237,9009.5,9996.0,10024.0,15713.5,13415.0,10634.0,2011-02-16T07:59:17.040069Z,20.0
246,9671.5,11040.0,11496.0,10218.0,7946.5,7735.0,2011-02-16T07:58:53.067069Z,21.0
245,9287.0,9947.0,9635.0,17201.0,13451.5,10029.5,2011-03-12T08:02:04.056478Z,3.0
247,8456.5,9060.0,9407.5,12333.0,9264.5,8181.0,2011-03-21T07:56:16.794879Z,12.0
248,8561.0,9636.0,9929.5,14954.0,14753.0,11537.5,2011-03-21T07:56:16.794879Z,12.0
231,8558.0,9449.0,8850.0,19619.0,13890.0,10042.0,2011-02-27T07:41:31.835050Z,8.0
249,8882.5,9908.0,9503.5,17418.5,13987.0,10115.0,2011-02-16T07:58:53.067069Z,21.0
215,,,,,,,,
242,8837.5,9642.0,9469.5,14093.0,12521.0,10400.0,2011-03-07T07:43:31.012577Z,2.0
250,10238.0,11452.5,11385.0,16860.0,14943.5,12101.5,2011-02-25T07:53:05.671025Z,12.0
239,8840.0,9708.0,9609.5,16271.0,12790.0,10150.0,2011-03-21T07:55:52.848382Z,13.0
244,8344.0,9168.0,9024.0,15627.0,13115.5,10091.5,2011-03-23T07:44:19.231700Z,14.0
259,9238.0,10362.5,10989.5,16052.5,15176.0,12502.0,2011-02-26T07:50:51.117944Z,12.0
257,8344.0,9168.0,9024.0,15627.0,13115.5,10091.5,2011-03-23T07:44:19.231700Z,13.0
243,8850.0,9799.5,9678.5,16934.0,14400.5,10951.0,2011-02-26T07:50:27.170763Z,11.0
253,8678.5,9364.0,9503.5,12459.0,10858.5,9286.0,2011-02-26T07:50:51.117944Z,11.0
241,9983.0,11082.0,11198.0,10658.5,8822.0,8384.5,2011-02-25T07:51:05.949006Z,12.0
256,7696.0,7835.5,7562.5,10147.5,8264.0,7628.0,2011-02-26T07:49:39.280811Z,12.0
258,9233.5,10218.5,10825.0,13890.0,11482.5,10112.5,2011-02-26T07:50:51.117944Z,12.0
260,9396.0,10765.0,11157.5,14001.0,12520.0,10583.0,2011-02-16T07:59:40.871000Z,23.0
254,8637.5,8959.0,9581.5,10864.0,12654.0,11808.5,2011-04-09T08:29:14.874462Z,31.0
265,8644.0,9386.0,9089.5,18391.5,12870.0,9682.0,2011-02-26T07:50:51.117944Z,16.0
251,8398.5,9248.0,9399.5,14007.5,12553.5,9979.0,2011-03-21T07:56:40.742843Z,12.0
255,8683.0,9528.0,9888.5,12613.5,9821.5,8651.0,2011-02-25T07:53:29.644019Z,13.0
264,9557.0,11426.0,12802.0,11190.0,7687.5,7645.0,2011-03-14T08:36:17.082050Z,1.0
252,8679.0,9417.0,9031.5,17023.0,13069.5,10005.5,2011-02-27T07:41:07.719075Z,10.0
271,10148.5,10570.5,10579.5,16308.0,15703.0,11748.5,2011-03-12T08:01:40.112596Z,3.0
263,8600.5,9554.0,9893.0,17079.0,16078.0,12122.0,2011-03-26T08:16:50.436084Z,15.0
272,10280.5,10717.5,10416.5,16318.0,12636.5,10113.0,2011-03-12T08:01:40.112596Z,3.0
273,10189.0,10746.0,10806.0,17334.0,13911.0,11046.0,2011-03-12T08:01:40.112596Z,3.0
270,8554.0,9478.0,9160.0,16803.5,13512.0,10163.0,2011-03-21T07:55:52.848382Z,7.0
268,8340.0,9390.0,9358.0,15247.0,14168.0,11151.5,2011-03-21T07:55:52.848382Z,7.0
274,9906.5,10638.5,11078.5,15835.0,15640.5,12874.0,2011-03-12T08:02:04.056478Z,3.0
269,10111.0,10765.0,10804.0,11484.0,9204.0,8369.0,2011-03-12T08:02:04.056478Z,2.0
277,9324.5,10209.5,10212.5,16588.5,15117.0,11791.5,2011-03-07T07:44:42.851070Z,8.0
266,8237.5,8918.0,8811.5,17078.0,12779.5,10456.0,2011-03-23T07:44:43.181877Z,9.0
261,8889.5,9619.0,9839.0,12658.5,12444.0,10599.0,2011-03-19T08:09:26.510007Z,8.0
267,8589.0,9609.5,9651.0,14730.0,12273.0,9853.0,2011-03-23T07:44:43.181877Z,9.0
282,8675.0,9761.0,9971.5,15234.5,14276.0,11311.5,2011-03-23T07:44:43.181877Z,7.0
281,8306.0,9052.0,8905.0,16275.0,12523.0,9749.0,2011-03-23T07:44:43.181877Z,7.0
280,9204.0,9833.5,9767.0,14726.5,14166.0,11023.5,2011-03-12T08:01:40.112596Z,4.0
287,8743.0,9691.0,9947.0,13724.0,13005.5,10754.5,2011-03-21T07:56:16.794879Z,4.0
284,8456.5,9060.0,9407.5,12333.0,9264.5,8181.0,2011-03-21T07:56:16.794879Z,5.0
285,8114.0,8314.0,8461.0,11058.0,11065.0,9696.0,2011-03-26T08:16:50.436084Z,10.0
290,8613.5,9330.0,9192.0,16370.0,12834.0,10197.0,2011-03-23T07:44:43.181877Z,5.0
286,8866.0,9469.0,9225.0,15007.0,12879.0,10314.0,2011-03-12T08:01:16.170401Z,5.0
288,8893.0,9969.5,10129.0,11490.5,10372.5,9135.0,2011-03-21T07:56:16.794879Z,4.0
276,8785.5,9769.0,9594.5,17673.0,14214.0,10862.0,2011-03-07T07:44:18.903449Z,8.0
262,,,,,,,,
289,8634.0,9394.0,9502.0,13884.0,14200.0,11395.5,2011-03-21T07:55:28.903528Z,3.0
283,8695.0,9582.5,9354.5,14265.0,14182.0,11071.5,2011-02-16T07:58:53.067069Z,28.0
278,9253.5,10247.0,10126.0,15515.5,12823.0,10403.5,2011-02-16T07:58:53.067069Z,27.0
279,9490.5,11044.5,11540.5,17937.5,18143.5,14152.5,2011-02-16T07:58:53.067069Z,27.0
294,8329.0,9383.0,9353.0,15196.0,13914.5,10984.0,2011-03-21T07:56:16.794879Z,1.0
295,8554.0,9478.0,9160.0,16803.5,13512.0,10163.0,2011-03-21T07:55:52.848382Z,1.0
