Latitude,Longitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,blue,green,red,nir08,swir16,swir22,image_date,days_offset,pet,ppt,tmax,tmin,q
-28.141944,26.417778,2011-01-04,94.718,227.9,132.0,9488.0,10802.0,11243.5,14123.5,9727.0,8519.5,2011-01-07T08:02:08.313072Z,3.0,93.8,187.0,28.17,16.539999,9.3
-27.398611,26.614722,2011-01-04,86.8,226.3,114.0,8959.0,9853.0,9939.0,16111.0,14045.0,11547.0,2010-12-06T08:01:51.601100Z,29.0,100.9,173.20000000000002,28.359999,17.039999,8.700000000000001
-33.501667,21.624167,2011-01-04,201.0,769.0,74.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,100.200005,15.7,29.51,13.78,0.8
-32.502778,19.535833,2011-01-04,10.387,73.0,10.0,10331.0,11862.5,13375.5,16571.5,18575.5,15882.5,2010-12-18T08:28:15.943946Z,17.0,119.9,4.0,34.01,16.359999,0.2
-25.45963889,28.26430556,2011-01-04,108.94,396.0,82.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,103.6,122.4,28.779999,17.5,6.1000000000000005
-27.495556,26.074722,2011-01-04,67.8,218.6,91.0,10126.0,12281.0,14067.0,18810.0,22313.0,19725.5,2010-12-06T08:01:51.601100Z,29.0,99.700005,162.8,28.59,16.6,8.1
-26.648056,27.089444,2011-01-05,211.0,532.0,62.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,83.5,156.60000000000002,26.83,15.94,7.800000000000001
-26.970278,27.211111,2011-01-05,71.5,248.4,117.0,9549.0,10352.0,10779.0,11076.0,7909.0,7729.5,2011-01-07T08:02:08.313072Z,2.0,82.1,169.5,27.0,16.19,8.5
-27.38972222,26.46388889,2011-01-05,82.14,255.5,74.0,9610.5,10324.0,10453.0,10958.5,10769.0,10431.0,2010-12-06T08:01:51.601100Z,30.0,83.200005,170.20000000000002,28.48,17.14,8.5
-27.044444,27.005,2011-01-05,83.0,220.9,85.0,9004.0,10072.0,9999.5,17439.0,16747.5,12545.5,2010-12-06T08:01:51.601100Z,30.0,82.4,172.0,27.4,16.51,8.6
-30.830556,26.921389,2011-01-06,62.099,145.0,10.0,8889.0,9640.0,9638.0,12845.0,10285.5,9020.0,2011-01-16T07:56:49.535557Z,10.0,57.0,138.0,28.33,14.08,6.9
-27.00222,28.76528,2011-01-06,34.855,114.5,150.0,9143.0,9975.0,10048.5,14408.0,12329.5,10043.5,2011-02-01T07:56:07.050552Z,26.0,70.0,179.4,25.63,14.28,9.0
-27.02314,28.59389,2011-01-06,41.408,148.8,152.0,9534.0,10223.0,10476.5,11704.5,10074.0,9053.0,2011-02-01T07:56:07.050552Z,26.0,72.4,179.20000000000002,25.96,14.61,9.0
-30.679722,26.7125,2011-01-06,55.297,138.3,44.0,8692.0,9123.0,9761.5,12863.0,8351.5,7948.0,2011-01-07T08:02:56.216667Z,1.0,59.8,135.3,29.42,14.74,6.800000000000001
-30.160091,27.40124,2011-01-06,57.916,167.1,13.0,9521.0,10740.0,11418.5,15444.5,15113.5,11890.5,2011-01-16T07:56:49.535557Z,10.0,57.4,207.0,27.47,14.9,36.9
-32.595833,19.009444,2011-01-06,8.621,63.1,19.0,9038.5,9811.5,10122.0,15168.0,13663.5,11354.5,2010-12-18T08:28:15.943946Z,19.0,52.7,4.5,33.85,16.58,0.2
-25.99136,27.84208,2011-01-10,82.432,283.8,32.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,173.2,160.3,26.599998,16.4,8.0
-26.73806,27.59194,2011-01-10,55.3,189.1,105.0,10060.0,10740.0,11262.0,11246.0,7694.5,7710.0,2011-01-07T08:01:44.363362Z,3.0,179.40001,166.60000000000002,26.349998,15.719999,8.3
-26.45,28.085833,2011-01-10,105.711,635.0,80.0,10246.0,10824.0,10213.5,19147.0,15023.5,11040.0,2010-12-31T07:55:29.618211Z,10.0,172.90001,156.10000000000002,26.07,15.25,7.800000000000001
-30.86013889,29.07125,2011-01-10,40.861,95.6,10.0,9396.0,10724.5,11634.0,14558.0,11450.0,10000.5,2011-01-09T07:50:35.593128Z,1.0,138.0,211.9,25.9,16.4,86.10000000000001
-27.356667,27.286389,2011-01-10,64.1,164.0,151.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,185.8,180.4,27.21,16.15,9.0
-27.01011111,26.69808333,2011-01-11,66.1,203.4,131.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,191.7,168.5,27.849998,16.75,8.4
-25.73411,27.21422,2011-01-11,8.0,34.04,56.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,182.5,150.70000000000002,27.58,16.199999,7.5
-26.98472222,26.63227778,2011-01-11,128.0,196.7,158.0,9763.0,10697.5,11162.5,10464.5,8177.0,7864.5,2011-01-07T08:02:08.313072Z,4.0,192.0,170.3,28.01,17.0,8.5
-27.398611,26.614722,2011-01-11,71.6,190.6,127.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,197.40001,173.20000000000002,28.359999,17.039999,8.700000000000001
-27.671111,27.236944,2011-01-11,75.096,275.7,71.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,192.1,194.7,27.599998,15.96,16.1
-29.160278,26.573333,2011-01-11,120.27,177.3,10.0,8892.0,9791.0,9761.0,15215.0,13390.0,11085.5,2011-01-07T08:02:32.264222Z,4.0,199.1,195.5,28.75,15.639999,18.3
-34.250556,20.9925,2011-01-11,26.8,304.5,12.0,8456.0,9019.0,9192.0,12323.0,13161.0,10800.5,2011-01-12T08:22:42.948526Z,1.0,140.2,13.7,29.32,17.08,0.7000000000000001
-25.45963889,28.26430556,2011-01-11,132.0,489.0,82.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,182.8,122.4,28.779999,17.5,6.1000000000000005
-25.81048333,27.90955222,2011-01-12,131.0,584.0,10.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,164.1,149.4,27.599998,17.34,7.5
-27.273889,28.49,2011-01-12,49.114,136.6,32.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,164.3,192.7,25.869999,14.65,18.0
-27.4275,28.525833,2011-01-12,62.326,163.9,45.0,10275.5,11110.0,11039.0,17263.0,14340.5,10911.5,2011-02-01T07:56:07.050552Z,20.0,163.6,202.5,25.769999,14.4,34.2
-28.883333,27.89,2011-01-12,117.44,271.7,10.0,8787.0,9491.0,9408.0,16227.0,12407.5,9783.0,2011-02-01T07:56:30.997725Z,20.0,164.2,268.2,25.83,14.5199995,108.7
-27.00222,28.76528,2011-01-13,63.848,190.9,62.0,9143.0,9975.0,10048.5,14408.0,12329.5,10043.5,2011-02-01T07:56:07.050552Z,19.0,161.6,179.4,25.63,14.28,9.0
-27.02314,28.59389,2011-01-13,62.806,192.7,35.0,9534.0,10223.0,10476.5,11704.5,10074.0,9053.0,2011-02-01T07:56:07.050552Z,19.0,163.1,179.20000000000002,25.96,14.61,9.0
-30.534167,24.961944,2011-01-13,100.962,142.6,80.0,9715.0,10561.0,10916.5,14489.5,14940.5,12882.0,2011-01-07T08:02:56.216667Z,6.0,205.0,94.7,30.599998,15.96,4.7
-28.460833,21.248889,2011-01-13,102.898,353.0,51.0,10832.0,12046.5,13063.0,14599.0,12067.0,11038.5,2011-02-13T08:21:16.641302Z,31.0,244.7,74.9,35.149998,19.85,3.7
-29.658056,25.973333,2011-01-14,86.742,107.0,85.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,186.90001,146.9,28.89,15.41,7.300000000000001
-28.760833,17.730278,2011-01-16,95.398,297.2,64.0,9881.0,11481.0,12405.0,11761.5,7791.0,7746.0,2011-02-03T08:30:09.856025Z,18.0,257.5,8.3,35.76,21.029999,0.4
-25.513889,31.224444,2011-01-17,63.165,155.5,11.0,8666.5,9732.0,9507.0,17837.5,13539.0,10302.0,2011-02-11T07:39:56.483069Z,25.0,149.40001,144.4,27.81,18.8,7.2
-26.861111,28.884722,2011-01-17,101.685,315.4,114.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,161.0,175.0,25.41,14.099999,8.8
-31.554722,29.245556,2011-01-17,58.2,197.2,12.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,123.700005,188.2,24.93,18.02,73.5
-28.058889,30.373611,2011-01-17,58.0,220.0,100.0,8452.5,9326.0,9431.0,14514.0,12189.5,9706.0,2011-02-10T07:49:58.178174Z,24.0,158.0,295.0,26.0,15.11,117.6
-25.127778,27.628889,2011-01-18,131.0,415.0,163.0,10148.5,10570.5,10579.5,16308.0,15703.0,11748.5,2011-03-12T08:01:40.112596Z,53.0,169.3,107.4,30.33,18.77,5.4
-25.20639,27.558,2011-01-18,102.0,516.0,90.0,10280.5,10717.5,10416.5,16318.0,12636.5,10113.0,2011-03-12T08:01:40.112596Z,53.0,170.0,110.1,30.029999,18.6,5.5
-24.69514,27.40906,2011-01-18,124.0,509.0,158.0,10189.0,10746.0,10806.0,17334.0,13911.0,11046.0,2011-03-12T08:01:40.112596Z,53.0,172.90001,108.2,30.519999,19.84,5.4
-25.681111,31.783333,2011-01-18,53.322,247.7,10.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,149.2,123.7,30.07,20.27,6.2
-27.802778,28.768333,2011-01-18,41.891,116.9,23.0,9086.5,9900.5,10232.5,12853.0,11596.5,9725.5,2011-02-01T07:56:07.050552Z,14.0,159.1,222.8,25.24,13.73,64.2
-27.398611,26.614722,2011-01-18,133.319,323.7,139.0,9253.5,10247.0,10126.0,15515.5,12823.0,10403.5,2011-02-16T07:58:53.067069Z,29.0,191.90001,173.20000000000002,28.359999,17.039999,8.700000000000001
-31.104278,29.399722,2011-01-18,52.984,129.0,10.0,8584.0,9511.0,9849.0,13898.0,10331.0,8973.0,2011-01-09T07:50:59.546787Z,9.0,134.1,200.4,25.68,17.84,78.9
-31.396,29.2651,2011-01-18,35.741,89.2,10.0,10047.5,11428.5,13270.0,13800.0,8900.0,8402.0,2011-01-09T07:50:59.546787Z,9.0,134.5,187.3,26.18,19.14,64.5
-33.38056,19.30167,2011-01-18,32.968,174.3,41.0,9572.0,10665.5,11320.5,15820.0,16377.5,13975.0,2011-02-28T08:25:11.413025Z,41.0,194.3,9.3,29.72,13.929999,0.5
-33.31388889,19.07472222,2011-01-18,30.257,208.2,23.0,8765.0,9546.5,9965.0,13162.5,12786.0,10889.0,2011-02-28T08:25:11.413025Z,41.0,205.90001,7.5,32.1,16.52,0.4
-27.495556,26.074722,2011-01-18,176.0,458.0,91.0,9490.5,11044.5,11540.5,17937.5,18143.5,14152.5,2011-02-16T07:58:53.067069Z,29.0,194.2,162.8,28.59,16.6,8.1
-24.39619444,27.08983333,2011-01-19,120.0,508.0,142.0,9928.5,10434.0,10337.5,15486.5,12978.0,10727.5,2011-03-12T08:01:40.112596Z,52.0,169.2,99.4,30.91,19.99,5.0
-26.970278,27.211111,2011-01-19,63.9,202.4,101.0,9549.0,10352.0,10779.0,11076.0,7909.0,7729.5,2011-01-07T08:02:08.313072Z,12.0,173.90001,169.5,27.0,16.19,8.5
-26.880278,26.965,2011-01-19,235.0,593.0,176.0,10960.0,12114.0,12663.0,11613.0,8402.0,7982.0,2011-01-07T08:02:08.313072Z,12.0,175.5,165.5,27.33,16.4,8.3
-27.273889,28.49,2011-01-19,63.114,149.5,11.0,9205.5,9880.5,9932.0,13704.5,9672.5,8407.0,2011-02-17T07:56:10.486793Z,29.0,164.3,192.7,25.869999,14.65,18.0
-27.3,28.586944,2011-01-19,59.091,150.3,16.0,9069.0,10002.0,9793.5,17734.0,15221.0,11363.0,2011-02-17T07:56:10.486793Z,29.0,163.40001,194.6,25.779999,14.48,22.1
-27.044444,27.005,2011-01-19,83.5,225.2,102.0,8882.5,9908.0,9503.5,17418.5,13987.0,10115.0,2011-02-16T07:58:53.067069Z,28.0,178.7,172.0,27.4,16.51,8.6
-30.568333,29.422778,2011-01-19,40.9,109.3,12.0,8429.5,9196.5,8964.5,16880.0,12987.5,10366.5,2011-01-09T07:50:35.593128Z,10.0,137.7,251.4,24.46,13.549999,131.1
-30.570833,29.150556,2011-01-19,40.72,90.6,10.0,8648.0,9549.0,9329.5,18764.0,15190.0,11076.0,2011-02-02T07:47:17.986081Z,14.0,138.90001,262.90000000000003,24.21,13.44,141.9
-34.031944,22.053333,2011-01-19,17.64,266.5,10.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,157.5,20.200000000000003,26.75,16.49,1.0
-33.13083,18.86278,2011-01-19,19.323,117.3,35.0,9586.0,10499.0,11525.5,15371.5,15542.0,12768.5,2010-12-18T08:28:15.943946Z,32.0,207.1,6.4,32.66,17.44,0.3
-33.7075,18.97444444,2011-01-19,7.891,78.6,27.0,9470.5,9930.5,10388.0,14701.0,13494.5,10810.0,2010-12-18T08:28:15.943946Z,32.0,200.3,9.4,31.32,17.05,0.5
-25.57877778,29.12747222,2011-01-19,58.232,231.7,10.0,8972.5,9934.5,9969.5,15534.5,12857.5,10579.0,2011-02-17T07:55:46.542600Z,29.0,161.6,122.9,28.33,16.43,6.1000000000000005
-26.006389,29.253889,2011-01-20,77.092,367.0,14.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,152.0,150.6,25.529999,14.349999,7.5
-27.02314,28.59389,2011-01-20,94.557,254.9,15.0,9534.0,10223.0,10476.5,11704.5,10074.0,9053.0,2011-02-01T07:56:07.050552Z,12.0,163.1,179.20000000000002,25.96,14.61,9.0
-30.679722,26.7125,2011-01-20,73.862,158.9,10.0,10019.5,10934.0,12350.0,14428.5,8301.5,7932.0,2011-01-16T07:56:49.535557Z,4.0,180.90001,135.3,29.42,14.74,6.800000000000001
-28.460833,21.248889,2011-01-20,85.7,259.1,29.0,10832.0,12046.5,13063.0,14599.0,12067.0,11038.5,2011-02-13T08:21:16.641302Z,24.0,244.7,74.9,35.149998,19.85,3.7
-30.77586667,29.03221667,2011-01-20,40.9,110.2,12.0,9400.5,10803.0,11902.0,14494.0,10500.5,9346.5,2011-01-09T07:50:35.593128Z,11.0,141.5,222.3,25.8,16.039999,96.7
-24.925278,29.324444,2011-01-21,85.636,381.0,59.0,8650.5,9517.0,9297.5,16403.5,14173.5,11102.5,2011-02-01T07:55:19.160414Z,11.0,162.40001,86.9,30.34,18.65,4.3
-28.460833,21.248889,2011-01-21,81.0,243.2,43.0,10832.0,12046.5,13063.0,14599.0,12067.0,11038.5,2011-02-13T08:21:16.641302Z,23.0,244.7,74.9,35.149998,19.85,3.7
-24.679167,30.8025,2011-01-24,24.95,99.6,10.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,143.3,172.8,25.289999,16.199999,8.6
-25.99136,27.84208,2011-01-24,90.9,324.2,32.0,10629.0,11573.0,11844.0,18501.0,16089.0,12622.0,2011-02-16T07:58:29.237038Z,23.0,161.1,160.3,26.599998,16.4,8.0
-25.49037,30.6986,2011-01-24,36.957,124.5,10.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,144.7,143.4,26.73,17.14,7.2
-26.970278,27.211111,2011-01-24,76.24,287.3,96.0,9549.0,10352.0,10779.0,11076.0,7909.0,7729.5,2011-01-07T08:02:08.313072Z,17.0,173.90001,169.5,27.0,16.19,8.5
-27.671111,27.236944,2011-01-24,47.184,142.9,129.0,9693.5,10943.0,11237.5,14887.0,13522.0,11403.0,2011-02-16T07:58:53.067069Z,23.0,182.90001,194.7,27.599998,15.96,16.1
-27.356667,27.286389,2011-01-24,87.25,208.7,123.0,8718.0,9502.5,9290.0,16828.5,12665.5,9643.0,2011-02-16T07:58:53.067069Z,23.0,182.40001,180.4,27.21,16.15,9.0
-27.01011111,26.69808333,2011-01-25,77.006,299.3,125.0,9344.0,10433.5,10728.5,12433.5,9579.5,8531.5,2011-02-16T07:58:53.067069Z,22.0,183.5,168.5,27.849998,16.75,8.4
-26.98472222,26.63227778,2011-01-25,153.0,410.0,158.0,9763.0,10697.5,11162.5,10464.5,8177.0,7864.5,2011-01-07T08:02:08.313072Z,18.0,181.40001,170.3,28.01,17.0,8.5
-27.398611,26.614722,2011-01-25,60.7,162.1,138.0,9253.5,10247.0,10126.0,15515.5,12823.0,10403.5,2011-02-16T07:58:53.067069Z,22.0,191.90001,173.20000000000002,28.359999,17.039999,8.700000000000001
-33.818056,19.694722,2011-01-25,11.901,145.1,10.0,9167.0,9912.0,10557.0,14438.0,14976.5,12355.0,2011-01-12T08:22:42.948526Z,13.0,201.8,9.9,31.189999,16.17,0.5
-25.45963889,28.26430556,2011-01-25,144.132,560.0,82.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,164.5,122.4,28.779999,17.5,6.1000000000000005
-33.897778,20.012778,2011-01-25,99.926,1368.0,56.0,8707.0,9154.0,9119.0,13871.0,11520.0,9420.0,2011-01-28T08:22:24.970046Z,3.0,196.1,10.0,31.349998,16.5,0.5
-25.81048333,27.90955222,2011-01-26,110.0,652.0,10.0,8693.0,9753.0,9553.5,16870.5,13408.0,10257.0,2011-02-16T07:58:29.237038Z,21.0,164.1,149.4,27.599998,17.34,7.5
-34.065833,20.404167,2011-01-26,68.815,758.0,10.0,8062.0,8452.0,8463.0,13535.0,10327.0,8688.0,2011-01-12T08:22:42.948526Z,14.0,179.3,10.7,31.349998,17.73,0.5
-24.058889,31.237222,2011-01-26,70.928,306.4,15.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,154.6,97.7,31.23,21.029999,4.9
-26.648056,27.089444,2011-01-26,243.0,556.0,12.0,8535.0,9597.0,8963.5,19310.5,12954.5,9447.5,2011-02-16T07:58:29.237038Z,21.0,170.90001,156.60000000000002,26.83,15.94,7.800000000000001
-26.880278,26.965,2011-01-26,217.0,535.0,176.0,10960.0,12114.0,12663.0,11613.0,8402.0,7982.0,2011-01-07T08:02:08.313072Z,19.0,175.5,165.5,27.33,16.4,8.3
-27.273889,28.49,2011-01-26,56.863,140.9,29.0,9205.5,9880.5,9932.0,13704.5,9672.5,8407.0,2011-02-17T07:56:10.486793Z,22.0,164.3,192.7,25.869999,14.65,18.0
-27.044444,27.005,2011-01-26,82.651,220.5,96.0,8882.5,9908.0,9503.5,17418.5,13987.0,10115.0,2011-02-16T07:58:53.067069Z,21.0,178.7,172.0,27.4,16.51,8.6
-34.092222,21.295278,2011-01-26,26.088,187.5,10.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,173.1,15.1,29.48,16.24,0.8
-27.02314,28.59389,2011-01-27,113.459,167.3,12.0,9534.0,10223.0,10476.5,11704.5,10074.0,9053.0,2011-02-01T07:56:07.050552Z,5.0,163.1,179.20000000000002,25.96,14.61,9.0
-26.73806,27.59194,2011-01-27,63.354,199.9,56.0,10060.0,10740.0,11262.0,11246.0,7694.5,7710.0,2011-01-07T08:01:44.363362Z,20.0,168.1,166.60000000000002,26.349998,15.719999,8.3
-28.760833,17.730278,2011-01-30,84.627,230.7,33.0,9881.0,11481.0,12405.0,11761.5,7791.0,7746.0,2011-02-03T08:30:09.856025Z,4.0,257.5,8.3,35.76,21.029999,0.4
-26.861111,28.884722,2011-01-31,82.136,182.3,109.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,161.0,175.0,25.41,14.099999,8.8
-26.73806,27.59194,2011-01-31,56.127,318.5,30.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,168.1,166.60000000000002,26.349998,15.719999,8.3
-25.127778,27.628889,2011-02-01,128.967,377.0,163.0,10148.5,10570.5,10579.5,16308.0,15703.0,11748.5,2011-03-12T08:01:40.112596Z,39.0,169.3,47.7,31.55,18.05,2.4000000000000004
-24.69514,27.40906,2011-02-01,125.275,491.0,158.0,10189.0,10746.0,10806.0,17334.0,13911.0,11046.0,2011-03-12T08:01:40.112596Z,39.0,172.90001,56.0,31.929998,18.949999,2.8000000000000003
-27.363611,31.783333,2011-02-01,69.459,186.9,10.0,8437.0,9281.0,8994.5,17894.5,13078.0,9695.0,2011-02-11T07:40:20.456069Z,10.0,154.40001,35.800000000000004,31.56,19.59,1.8
-27.802778,28.768333,2011-02-01,43.422,116.9,13.0,9086.5,9900.5,10232.5,12853.0,11596.5,9725.5,2011-02-01T07:56:07.050552Z,0.0,159.1,71.7,26.539999,13.09,3.6
-29.160278,26.573333,2011-02-01,110.418,255.6,86.0,9009.5,9996.0,10024.0,15713.5,13415.0,10634.0,2011-02-16T07:59:17.040069Z,15.0,190.1,105.4,29.24,15.11,5.300000000000001
-34.329722,18.990278,2011-02-01,9.639,159.1,10.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,158.2,5.800000000000001,25.91,17.07,0.3
-25.20639,27.558,2011-02-02,120.441,549.0,59.0,10280.5,10717.5,10416.5,16318.0,12636.5,10113.0,2011-03-12T08:01:40.112596Z,38.0,170.0,49.8,31.279999,17.81,2.5
-23.281,30.54305556,2011-02-03,179.566,377.0,10.0,9763.0,11058.5,11405.5,16423.0,11413.5,9248.5,2011-01-17T07:45:16.850075Z,17.0,154.40001,48.900000000000006,30.91,19.5,2.4000000000000004
-28.801278,31.955389,2011-02-03,267.057,1405.0,27.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,150.2,82.0,30.23,20.82,4.1000000000000005
-27.00222,28.76528,2011-02-03,77.106,184.2,25.0,9143.0,9975.0,10048.5,14408.0,12329.5,10043.5,2011-02-01T07:56:07.050552Z,2.0,161.6,58.6,27.18,13.469999,2.9000000000000004
-27.02314,28.59389,2011-02-03,73.521,195.0,17.0,9534.0,10223.0,10476.5,11704.5,10074.0,9053.0,2011-02-01T07:56:07.050552Z,2.0,163.1,59.0,27.55,13.7699995,2.9000000000000004
-27.3,28.586944,2011-02-03,79.329,175.8,18.0,9069.0,10002.0,9793.5,17734.0,15221.0,11363.0,2011-02-17T07:56:10.486793Z,14.0,163.40001,62.3,27.359999,13.58,3.1
-30.679722,26.7125,2011-02-03,110.608,213.21,10.0,9235.5,10548.0,11938.0,13400.0,7764.0,7659.0,2011-02-01T07:56:54.946192Z,2.0,180.90001,98.7,29.48,14.809999,4.9
-28.460833,21.248889,2011-02-03,83.815,282.2,61.0,10832.0,12046.5,13063.0,14599.0,12067.0,11038.5,2011-02-13T08:21:16.641302Z,10.0,244.7,138.5,34.46,19.75,6.9
-28.460833,21.248889,2011-02-04,75.303,416.5,43.5,10832.0,12046.5,13063.0,14599.0,12067.0,11038.5,2011-02-13T08:21:16.641302Z,9.0,244.7,138.5,34.46,19.75,6.9
-29.140556,31.391944,2011-02-07,52.323,410.0,11.0,9784.5,11594.0,12548.0,13930.0,8610.0,8471.0,2011-02-11T07:40:44.286094Z,4.0,143.5,98.0,29.619999,20.58,4.9
-25.99136,27.84208,2011-02-07,98.8,368.0,15.0,10629.0,11573.0,11844.0,18501.0,16089.0,12622.0,2011-02-16T07:58:29.237038Z,9.0,161.1,50.7,28.17,15.36,2.5
-24.058889,31.237222,2011-02-07,95.677,371.0,10.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,154.6,28.700000000000003,32.13,19.689999,1.4
-26.73806,27.59194,2011-02-07,58.238,193.4,81.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,168.1,60.400000000000006,27.769999,14.809999,3.0
-30.86013889,29.07125,2011-02-07,45.978,119.3,10.0,9021.5,10027.0,9845.5,16538.0,14809.0,11414.5,2011-02-02T07:47:17.986081Z,5.0,140.6,59.7,27.699999,16.609999,3.0
-27.356667,27.286389,2011-02-07,93.012,203.7,100.0,8718.0,9502.5,9290.0,16828.5,12665.5,9643.0,2011-02-16T07:58:53.067069Z,9.0,182.40001,71.9,28.5,15.41,3.6
-28.058889,30.373611,2011-02-07,71.0,290.0,100.0,8452.5,9326.0,9431.0,14514.0,12189.5,9706.0,2011-02-10T07:49:58.178174Z,3.0,158.0,70.3,27.689999,14.719999,3.5
-27.01011111,26.69808333,2011-02-08,101.723,207.1,15.0,9344.0,10433.5,10728.5,12433.5,9579.5,8531.5,2011-02-16T07:58:53.067069Z,8.0,183.5,84.7,28.93,16.039999,4.2
-27.169444,29.233889,2011-02-08,101.294,225.9,10.0,8758.0,9687.5,9713.5,13255.5,14602.0,12079.0,2011-02-10T07:49:58.178174Z,2.0,157.3,55.8,26.23,12.88,2.8000000000000003
-26.98472222,26.63227778,2011-02-08,206.521,612.0,158.0,9414.0,10207.0,10262.5,13683.0,14011.5,11850.5,2011-02-16T07:58:53.067069Z,8.0,181.40001,86.0,29.109999,16.31,4.3
-27.398611,26.614722,2011-02-08,92.527,237.8,53.0,9253.5,10247.0,10126.0,15515.5,12823.0,10403.5,2011-02-16T07:58:53.067069Z,8.0,191.90001,87.9,29.51,16.449999,4.4
-27.573056,24.746389,2011-02-08,113.181,304.7,10.0,8658.0,9767.5,9470.0,17012.5,12108.0,9335.0,2011-02-15T08:08:31.288543Z,7.0,208.40001,121.4,31.66,17.4,6.1000000000000005
-33.501667,21.624167,2011-02-08,178.546,896.0,24.0,8675.0,9197.5,9191.0,14958.5,12064.5,9854.5,2011-03-26T08:16:26.480988Z,46.0,189.1,10.7,29.529999,15.49,0.5
-32.502778,19.535833,2011-02-08,27.104,168.6,10.0,10579.0,13104.0,14613.0,17653.0,19330.0,16984.0,2011-02-28T08:25:11.413025Z,20.0,233.40001,3.2,34.18,18.02,0.2
-25.45963889,28.26430556,2011-02-08,118.92,530.0,82.0,8924.0,9854.75,10129.0,14253.5,13797.0,11313.75,,,164.5,37.7,30.4,16.52,1.9
